Date,Value
31/12/2023,1.442M
31/12/2022,1.291M
31/12/2021,1.523M
31/12/2020,1.775M
31/12/2019,1.946M
31/12/2018,1.910M
31/12/2017,1.946M
31/12/2016,1.871M
31/12/2015,2.171M
31/12/2014,2.347M
31/12/2013,2.307M
31/12/2012,2.457M
31/12/2011,2.474M
31/12/2010,2.408M
31/12/2009,2.208M
31/12/2008,2.165M
31/12/2007,2.207M
31/12/2006,2.326M
31/12/2005,2.469M
31/12/2004,2.393M
31/12/2003,2.211M
31/12/2002,1.966M
31/12/2001,2.082M
31/12/2000,2.039M
31/12/1999,1.946M
31/12/1998,2.115M
31/12/1997,2.133M
31/12/1996,2.001M
31/12/1995,1.993M
31/12/1994,1.931M
31/12/1993,1.96M
31/12/1992,1.943M
31/12/1991,1.892M
31/12/1990,1.81M
31/12/1989,1.716M
31/12/1988,1.45M
31/12/1987,1.341M
31/12/1986,1.467M
31/12/1985,1.495M
31/12/1984,1.388M
31/12/1983,1.241M
31/12/1982,1.295M
31/12/1981,1.433M
31/12/1980,2.055M
31/12/1979,2.302M
31/12/1978,1.897M
31/12/1977,2.085M
31/12/1976,2.067M
31/12/1975,1.783M
31/12/1974,2.255M
